Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
AsBrSe,989f469f06bd,P3m1 (156),0.0,1.212,C,K,0.069,1.752
ZrS2,1a039e022308,P-6m2 (187),0.19,0.97,V,K,0.01,0.572
ZrS2,1a039e022308,P-6m2 (187),0.19,0.97,C,K,0.087,0.567
HgSe,619ed885f677,P3m1 (156),0.157,0.069,V,K,0.061,0.375
HgSe,619ed885f677,P3m1 (156),0.157,0.069,C,K,0.136,2.954
BiITe,a84d988e38ac,P3m1 (156),0.11,0.691,V,K,0.163,0.588
BiITe,a84d988e38ac,P3m1 (156),0.11,0.691,C,K,0.43,0.387
AsBrTe,64921449e408,P3m1 (156),0.0,1.253,V,K,0.005,0.611
AsBrTe,64921449e408,P3m1 (156),0.0,1.253,C,K,0.028,1.261
SSeZr,1a9901838600,P3m1 (156),0.0,0.616,V,K,0.039,1.958
SSeZr,1a9901838600,P3m1 (156),0.0,0.616,C,K,0.007,1.241
P2Ta2Te6,601435d29c97,P1 (1),0.222,0.206,C,H,0.001,0.107
P2Ta2Te6,601435d29c97,P1 (1),0.222,0.206,C,H1,0.001,0.107
GeCl2,a7216f084785,P-6m2 (187),0.136,2.955,V,K,0.067,0.112
GeCl2,a7216f084785,P-6m2 (187),0.136,2.955,C,K,0.057,0.0
TiBr2,57116f9a9a4e,P-6m2 (187),0.0,0.756,V,K,0.056,0.0
TiBr2,57116f9a9a4e,P-6m2 (187),0.0,0.756,C,K,0.015,0.172
WO2,94cfbb3f9284,P-6m2 (187),0.0,1.312,V,K,0.406,1.385
WO2,94cfbb3f9284,P-6m2 (187),0.0,1.312,C,K,0.02,0.0
Hg2P2S6,b81eb586acfd,P1 (1),0.0,0.981,C,H,0.001,0.731
Hg2P2S6,b81eb586acfd,P1 (1),0.0,0.981,C,H1,0.001,0.731
GeBr2,36a198743d35,P-6m2 (187),0.112,2.543,V,K,0.175,0.251
GeBr2,36a198743d35,P-6m2 (187),0.112,2.543,C,K,0.042,0.0
SSeZr,2be14f373da0,P3m1 (156),0.163,0.831,V,K,0.008,0.623
SSeZr,2be14f373da0,P3m1 (156),0.163,0.831,C,K,0.107,0.569
MoSe2,f61b14d398c7,P-6m2 (187),0.0,1.342,V,K,0.185,0.0
MoSe2,f61b14d398c7,P-6m2 (187),0.0,1.342,C,K,0.021,0.0
BrSbSe,89b15ddef41d,P3m1 (156),0.0,1.072,V,K,0.044,0.383
BrSbSe,89b15ddef41d,P3m1 (156),0.0,1.072,C,K,0.231,1.758
WSe2,1cfbe6183886,P-6m2 (187),0.0,1.255,V,K,0.466,0.0
WSe2,1cfbe6183886,P-6m2 (187),0.0,1.255,C,K,0.037,0.0
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,V,K,0.158,0.845
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,C,K,0.431,0.647
CaI2,066f40f26c53,P-6m2 (187),0.108,2.995,V,K,0.011,0.412
CaI2,066f40f26c53,P-6m2 (187),0.108,2.995,C,K,0.079,0.582
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,C,H,0.149,0.09
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,C,H1,0.149,0.09
HfSeTe,305c779b8752,P3m1 (156),0.149,0.16,V,K,0.035,1.04
HfSeTe,305c779b8752,P3m1 (156),0.149,0.16,C,K,0.321,0.727
HfTe2,59c0e014651d,P-6m2 (187),0.133,0.147,V,K,0.04,0.902
HfTe2,59c0e014651d,P-6m2 (187),0.133,0.147,C,K,0.343,0.848
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,V,K,0.02,0.0
AlSb,1734deee2ac1,P3m1 (156),0.475,1.447,C,K,0.046,0.017
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,V,K,0.087,0.383
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,C,K,0.08,1.731
GeO,a42f736f1682,P3m1 (156),0.311,2.093,V,K,0.008,0.0
GeO,a42f736f1682,P3m1 (156),0.311,2.093,C,K,0.059,0.757
BrSSb,4ae37f15e1fe,P3m1 (156),0.157,1.437,V,K,0.139,0.444
BrSSb,4ae37f15e1fe,P3m1 (156),0.157,1.437,C,K,0.129,0.21
TiCl2,95688ba68ca1,P-6m2 (187),0.001,0.901,V,K,0.032,0.0
TiCl2,95688ba68ca1,P-6m2 (187),0.001,0.901,C,K,0.004,0.281
