Formula,uid,kpath,pmid_grdf_trig_max,E_pfrac_relevant,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean,Rashba_parameter
ISbTe,0f02957b17cf,G->K,-1.2342344760598332,0.848391125348033,0.8724804784156919,1.4166666666666667,0.1500200241367949,0.0,0.1059895356969052,3.526
Sn2Te2,03bcf7dcdaf2,Y->G,-2.173680899149965,0.8358953535587912,0.8358953535587912,1.4249999999999998,0.0031607118049786,0.0,0.4768790844063632,4.804
SeTeW,6e2a4c6f4f57,M->G,-1.7515391769253403,0.1379246426011634,0.1379246426011634,1.3,0.2665038395084947,0.5,0.3947903319235642,1.394
S2Sn2,7a8373382b33,Y->G,-2.3235848149122487,0.8186754780085288,0.8186754780085288,1.225,0.0193264367786514,0.0,0.8573276685079807,4.469
SeSn,d59c96fdfda1,M->K,-0.9211098744428414,0.8617318463089176,0.772294966413053,1.2999999999999998,0.0,0.5,0.0,0.873
BiBrS,49b7be14f786,G->M,-1.4945848587115471,0.9145043455561068,0.9145043455561068,1.25,0.227769540807324,0.0,0.2601377879679843,1.271
BiBrS,49b7be14f786,G->K,-1.4945848587115471,0.9145043455561068,0.9145043455561068,1.25,0.227769540807324,0.0,0.2601377879679843,1.293
AsClTe,fba4cc0df459,G->K,-1.8837798887421169,0.9136992993085054,0.9136992993085054,1.1833333333333331,0.1919937581557476,0.0,0.4378311102821758,0.634
ClSbTe,04fdd7d1ec5c,M->K,-1.8592992218023547,0.8840911585585108,0.92019295831051,1.2833333333333332,0.150882455915908,0.5,0.4329438326027852,1.018
ClSbTe,04fdd7d1ec5c,M->G,-1.8592992218023547,0.92019295831051,0.92019295831051,1.2833333333333332,0.150882455915908,0.5,0.4329438326027852,0.711
BiBrSe,de5756e4fbfa,G->M,-1.4344881772579616,0.8708858861095728,0.9086603729103896,1.3,0.190955675890306,0.0,0.2167112027710686,2.784
BiBrSe,de5756e4fbfa,G->K,-1.4344881772579616,0.8708858861095728,0.9086603729103896,1.3,0.190955675890306,0.0,0.2167112027710686,2.634
BiBrSe,de5756e4fbfa,G->M,-1.4344881772579616,0.9086603729103896,0.9086603729103896,1.3,0.190955675890306,0.0,0.2167112027710686,1.366
BiBrSe,de5756e4fbfa,G->K,-1.4344881772579616,0.9086603729103896,0.9086603729103896,1.3,0.190955675890306,0.0,0.2167112027710686,1.417
Bi2P2S6,287dcf4f1a19,G->Y,-6.194920469114157,0.9027750754848928,0.9027750754848928,1.2,0.7063049990518508,0.0,10.719223989530924,0.795
Bi2P2S6,287dcf4f1a19,Y->G,-6.194920469114157,0.9027750754848928,0.9027750754848928,1.2,0.7063049990518508,0.0,10.719223989530924,1.406
Bi2P2S6,287dcf4f1a19,Y->H,-6.194920469114157,0.9027750754848928,0.9027750754848928,1.2,0.7063049990518508,0.0,10.719223989530924,1.248
Bi2P2S6,287dcf4f1a19,C->H,-6.194920469114157,0.9027750754848928,0.9027750754848928,1.2,0.7063049990518508,0.5,10.719223989530924,0.491
Bi2P2S6,287dcf4f1a19,G->X,-6.194920469114157,0.9027750754848928,0.9027750754848928,1.2,0.7063049990518508,0.0,10.719223989530924,0.882
BiClS,99fd027b1d0b,M->G,-1.87593975146013,0.9372956282273632,0.9372956282273632,1.2,0.1841178812524295,0.5,0.4486568384337214,0.461
AsBrS,1dcd471c2288,M->K,-1.597214599505171,0.81239137651136,0.8750866369111423,1.1,0.30213533827224,0.5,0.3265450778275163,3.109
STeW,916afba26723,M->G,-1.4242995656213564,0.3590873032806925,0.3590873032806925,1.25,0.3385167802641095,0.5,0.2510687473773069,3.622
STeW,916afba26723,M->K,-1.4242995656213564,0.3590873032806925,0.3590873032806925,1.25,0.3385167802641095,0.5,0.2510687473773069,3.414
STeW,916afba26723,G->K,-1.4242995656213564,0.3590873032806925,0.3590873032806925,1.25,0.3385167802641095,0.0,0.2510687473773069,0.533
BiClTe,968a6902b7f5,M->K,-1.4805482147981084,0.901195181671016,0.9106283567992832,1.3333333333333333,0.1703630846964617,0.5,0.2374837011916042,1.175
BiClTe,968a6902b7f5,M->K,-1.4805482147981084,0.9106283567992832,0.9106283567992832,1.3333333333333333,0.1703630846964617,0.5,0.2374837011916042,0.992
AsBrTe,671e6de2497a,G->M,-1.827950774139872,0.909375314729425,0.909375314729425,1.2333333333333332,0.190986040017127,0.0,0.4210240001132734,0.694
AsBrTe,671e6de2497a,G->K,-1.827950774139872,0.909375314729425,0.909375314729425,1.2333333333333332,0.190986040017127,0.0,0.4210240001132734,0.618
AsISe,5d829e480507,M->K,-1.500165667592836,0.8922939066570377,0.8797309545139917,1.2333333333333332,0.2607025930399145,0.5,0.2706149760933437,1.626
AsISe,5d829e480507,G->M,-1.500165667592836,0.8797309545139917,0.8797309545139917,1.2333333333333332,0.2607025930399145,0.0,0.2706149760933437,1.583
AsISe,5d829e480507,G->K,-1.500165667592836,0.8797309545139917,0.8797309545139917,1.2333333333333332,0.2607025930399145,0.0,0.2706149760933437,1.615
ClSbSe,0c0fbdaf8f4a,G->M,-1.599254952697779,0.7943110472668419,0.8322172034831463,1.2,0.2260291473756004,0.0,0.2967679481316294,2.682
ClSbSe,0c0fbdaf8f4a,G->K,-1.599254952697779,0.7943110472668419,0.8322172034831463,1.2,0.2260291473756004,0.0,0.2967679481316294,2.448
