features,feat_list,indices,n_feat,cv5_r2
E_pfrac_relevant + kvec_z,"E_pfrac_relevant,kvec_z","(2, 34)",2,-0.0035223638168581095
kpath_angle_deg + mid_adf_min,"kpath_angle_deg,mid_adf_min","(24, 41)",2,-0.004411545902958535
kend_degeneracy + mid_adf_mean,"kend_degeneracy,mid_adf_mean","(17, 40)",2,-0.0051755982035886165
end_adf_max + kmid_frac_y,"end_adf_max,kmid_frac_y","(8, 22)",2,-0.005709958546755267
end_adf_max + mid_adf_min,"end_adf_max,mid_adf_min","(8, 41)",2,-0.005727069277677433
mid_adf_mean + mid_adf_std,"mid_adf_mean,mid_adf_std","(40, 43)",2,-0.005787981055822988
kpath_angle_deg + start_adf_min,"kpath_angle_deg,start_adf_min","(24, 54)",2,-0.005967739384984671
end_adf_mean + end_nearest_mass,"end_adf_mean,end_nearest_mass","(9, 16)",2,-0.006531867712312689
end_adf_mean + end_nearest_Z,"end_adf_mean,end_nearest_Z","(9, 13)",2,-0.006531867712312689
end_adf_mean + end_nearest_Z4,"end_adf_mean,end_nearest_Z4","(9, 14)",2,-0.006531867712312689
E_pfrac_VBM + start_adf_mean,"E_pfrac_VBM,start_adf_mean","(1, 53)",2,-0.006697289476994816
E_pfrac_CBM + E_pfrac_relevant,"E_pfrac_CBM,E_pfrac_relevant","(0, 2)",2,-0.007310534378699307
E_pfrac_VBM + X_mean,"E_pfrac_VBM,X_mean","(1, 4)",2,-0.007840886789145341
end_nearest_Z4 + start_adf_max,"end_nearest_Z4,start_adf_max","(14, 52)",2,-0.00849481416511475
end_nearest_Z + start_adf_max,"end_nearest_Z,start_adf_max","(13, 52)",2,-0.00849481416511475
end_nearest_mass + start_adf_max,"end_nearest_mass,start_adf_max","(16, 52)",2,-0.00849481416511475
start_adf_std + sum_Z4,"start_adf_std,sum_Z4","(56, 61)",2,-0.009472748324757928
